url_length,num_subdomains,has_ip_in_url,has_at_symbol,has_dash,is_https,is_phishing
72,3,0,0,0,0,1
144,3,0,0,0,0,1
58,3,0,0,0,0,1
79,3,0,0,1,0,1
46,3,0,0,0,0,1
42,3,0,0,1,0,1
60,2,0,0,0,0,1
30,1,0,0,0,0,1
76,8,0,0,1,0,1
46,2,0,0,0,0,1
64,5,0,0,1,0,1
47,2,0,0,0,0,1
61,2,0,0,1,0,1
35,2,0,0,0,0,1
60,2,0,0,1,0,1
73,3,0,0,0,0,1
50,3,1,0,0,0,1
59,3,0,0,1,0,1
28,2,0,0,0,0,1
59,1,0,0,0,0,1
32,1,0,0,0,0,1
52,5,0,0,0,0,1
62,2,0,0,1,0,1
105,1,0,0,1,0,1
55,4,0,0,0,0,1
134,5,0,0,1,0,1
43,2,0,0,0,0,1
210,6,0,0,1,0,1
135,2,0,0,1,0,1
85,5,0,0,0,0,1
80,2,0,0,0,0,1
44,2,0,0,0,0,1
95,3,0,0,0,0,1
60,2,0,0,1,0,1
60,2,0,0,0,0,1
100,6,0,0,1,0,1
111,6,0,0,1,0,1
29,2,0,0,0,0,1
37,2,0,0,1,0,1
49,3,0,0,1,0,1
34,1,0,0,0,0,1
53,3,0,0,1,0,1
45,2,0,0,0,0,1
65,3,0,0,0,0,1
182,5,0,0,0,0,1
47,3,0,0,0,0,1
55,4,0,0,0,0,1
62,2,0,0,0,0,1
59,2,0,0,1,0,1
39,3,0,0,0,0,1
41,2,0,0,0,0,1
142,2,0,0,0,0,1
29,2,0,0,0,0,1
51,4,0,0,1,0,1
39,3,0,0,0,0,1
48,3,0,0,0,0,1
59,2,0,0,1,0,1
129,2,0,0,1,0,1
34,3,0,0,1,0,1
184,8,0,0,1,0,1
184,8,0,0,1,0,1
135,2,0,0,1,0,1
133,2,0,0,1,0,1
52,4,0,0,0,0,1
58,4,0,0,0,0,1
120,5,0,0,1,0,1
48,3,0,0,1,0,1
58,4,0,0,1,0,1
32,1,0,0,0,0,1
37,2,0,0,0,0,1
63,2,0,0,0,0,1
120,5,0,0,1,0,1
52,2,0,0,0,0,1
58,5,1,0,0,0,1
51,2,0,0,0,0,1
73,1,0,0,0,0,1
57,3,0,0,0,0,1
32,2,0,0,0,0,1
52,2,0,0,0,0,1
47,1,0,0,1,0,1
59,1,0,0,1,0,1
135,5,0,0,1,0,1
34,2,0,0,1,0,1
153,1,0,0,0,0,1
51,2,0,0,1,0,1
120,5,0,0,1,0,1
67,3,0,0,1,0,1
41,2,0,0,0,0,1
40,2,0,0,0,0,1
39,1,0,0,1,0,1
58,3,0,0,1,0,1
46,2,0,0,1,0,1
48,4,0,0,0,0,1
139,2,0,0,0,0,1
79,1,0,0,1,0,1
79,1,0,0,1,0,1
53,3,0,0,0,0,1
53,2,0,0,0,0,1
70,3,0,0,0,0,1
49,3,0,0,0,0,1
149,12,0,0,1,0,1
152,4,0,0,1,0,1
82,3,0,0,0,0,1
39,2,0,0,0,0,1
39,1,0,0,0,0,1
50,1,0,0,1,0,1
79,5,0,0,0,0,1
25,1,0,0,0,0,1
212,3,0,0,0,0,1
57,3,0,0,0,0,1
47,3,0,0,0,0,1
52,1,0,0,0,0,1
40,2,0,0,0,0,1
37,1,0,0,0,0,1
37,2,0,0,0,0,1
64,3,0,0,1,0,1
42,2,0,0,0,0,1
43,2,0,0,0,0,1
42,2,0,0,0,0,1
49,2,0,0,0,0,1
64,3,0,0,0,0,1
68,2,0,0,0,0,1
48,2,0,0,1,0,1
49,2,0,0,1,0,1
38,1,0,0,1,0,1
89,4,1,0,1,0,1
79,2,0,0,0,0,1
90,4,1,0,1,0,1
89,4,1,0,1,0,1
50,2,0,0,1,0,1
54,3,0,0,1,0,1
149,6,0,0,1,0,1
50,2,0,0,1,0,1
50,2,0,0,1,0,1
37,2,0,0,0,0,1
62,4,0,0,1,0,1
29,1,0,0,0,0,1
172,2,0,0,1,0,1
164,2,0,0,1,0,1
44,2,0,0,0,0,1
142,6,0,0,1,0,1
191,4,0,0,1,0,1
191,4,0,0,1,0,1
191,4,0,0,1,0,1
59,1,0,0,0,0,1
56,3,0,0,0,0,1
58,2,0,0,0,0,1
53,4,0,0,0,0,1
